330;1;0;77
332;1;0;83
333;1;1;35
336;1;1;30
341;1;0;58
344;1;1;54
346;1;1;66
355;1;1;45
359;1;1;67
362;1;1;9
388;1;1;50
392;1;1;51
397;1;1;71
401;1;1;59
409;1;0;60
411;1;1;68
414;1;1;84
418;1;1;36
421;1;1;72
430;1;1;10
435;1;1;89
438;1;1;33
441;1;0;46
448;1;1;15
454;1;1;52
457;1;1;61
462;1;1;11
470;1;1;73
1;2;0;62
6;2;1;96
22;2;0;63
37;2;1;47
40;2;1;94
44;2;1;40
48;2;1;14
49;2;1;28
56;2;1;0
69;2;1;85
70;2;0;78
75;2;1;97
81;2;0;31
84;2;1;64
86;2;1;48
87;2;1;49
89;2;1;86
94;2;1;1
97;2;1;4
101;2;1;90
102;2;0;87
113;2;0;55
125;2;1;91
127;2;1;29
128;2;1;5
134;2;1;98
144;2;1;41
154;2;1;79
157;2;1;22
158;2;0;16
160;2;0;74
163;2;1;34
172;2;0;88
174;2;0;80
183;2;0;81
185;2;1;42
195;2;1;53
198;2;1;99
199;2;1;6
201;2;1;69
203;2;1;2
217;2;0;17
222;2;1;24
232;2;1;18
239;2;1;92
242;2;1;82
243;2;1;23
250;2;1;19
256;2;1;75
257;2;1;20
261;2;1;21
262;2;1;12
266;2;1;25
268;2;1;26
270;2;1;7
272;2;1;43
273;2;1;8
279;2;1;13
280;2;1;70
281;2;1;37
284;2;1;44
286;2;1;65
290;2;1;95
293;2;0;76
298;2;1;38
299;2;0;56
303;2;1;27
304;2;1;39
308;2;0;93
312;2;1;3
321;2;1;32
324;2;1;57
330;2;0;77
332;2;0;83
333;2;1;35
336;2;1;30
341;2;0;58
344;2;1;54
346;2;1;66
355;2;1;45
359;2;1;67
362;2;1;9
388;2;1;50
392;2;1;51
397;2;1;71
401;2;1;59
409;2;0;60
411;2;1;68
414;2;1;84
418;2;1;36
421;2;1;72
430;2;1;10
435;2;1;89
438;2;1;33
441;2;0;46
448;2;1;15
454;2;1;52
457;2;1;61
462;2;1;11
470;2;1;73
1;3;0;62
6;3;1;96
22;3;0;63
37;3;1;47
40;3;1;94
44;3;1;40
48;3;0;14
49;3;1;28
56;3;0;0
69;3;1;85
70;3;0;78
75;3;1;97
81;3;0;31
84;3;1;64
86;3;1;48
87;3;1;49
89;3;1;86
94;3;0;1
97;3;0;4
101;3;1;90
102;3;0;87
113;3;0;55
125;3;1;91
127;3;1;29
128;3;1;5
134;3;1;98
144;3;1;41
154;3;1;79
157;3;1;22
158;3;0;16
160;3;0;74
163;3;1;34
172;3;0;88
174;3;0;80
183;3;0;81
185;3;1;42
195;3;1;53
198;3;1;99
199;3;0;6
201;3;1;69
203;3;1;2
217;3;0;17
222;3;1;24
232;3;0;18
239;3;0;92
242;3;1;82
243;3;0;23
250;3;1;19
256;3;1;75
257;3;0;20
261;3;0;21
262;3;1;12
266;3;1;25
268;3;1;26
270;3;0;7
272;3;1;43
273;3;0;8
279;3;0;13
280;3;1;70
281;3;1;37
284;3;1;44
286;3;1;65
290;3;1;95
293;3;0;76
298;3;0;38
299;3;0;56
303;3;1;27
304;3;1;39
308;3;0;93
312;3;0;3
321;3;1;32
324;3;1;57
330;3;0;77
332;3;0;83
333;3;1;35
336;3;1;30
341;3;0;58
344;3;1;54
346;3;1;66
355;3;1;45
359;3;1;67
362;3;0;9
388;3;1;50
392;3;1;51
397;3;1;71
401;3;1;59
409;3;0;60
411;3;1;68
414;3;1;84
